mid_date,lat,lon,v [m/yr],v_error [m/yr],vx [m/yr],vx_error [m/yr],vy [m/yr],vy_error [m/yr],date_dt [days],mission,satellite,epsg
1998-04-27 14:31:37.189474048,69.1117,-49.4604,3172.0,106.0,-2439.0,78.3,2028.0,135.5,32,L,5,3413
2020-05-11 10:00:19.864243968,69.1117,-49.4604,5924.0,109.0,-4069.0,72.5,4306.0,133.6,5,S,1A,3413
2019-09-03 09:52:11.526593024,69.1117,-49.4604,8303.0,685.0,-5589.0,1000.8,6140.0,165.5,6,S,1B,3413
1993-04-17 02:19:51.853368064,69.1117,-49.4604,2902.0,108.0,-2250.0,110.7,1833.0,104.5,39,L,5,3413
2021-04-19 09:52:16.297730816,69.1117,-49.4604,7896.0,101.0,-5227.0,53.0,5918.0,126.9,5,S,1A,3413
2020-05-18 20:47:21.303389952,69.1117,-49.4604,6604.0,40.0,-4527.0,20.6,4808.0,51.5,12,S,1A,3413
1992-12-21 14:23:26.694745984,69.1117,-49.4604,818.0,11.0,-816.0,11.0,-48.0,7.5,335,L,5,3413
2018-09-25 03:29:45.180916992,69.1117,-49.4604,6778.0,72.0,-4711.0,63.6,4873.0,78.6,15,S,2B,3413
2011-04-14 14:54:13.443138048,69.1117,-49.4604,7263.0,176.0,-4935.0,170.1,5329.0,180.2,14,L,7,3413
1991-04-28 02:19:41.508946944,69.1117,-49.4604,3756.0,162.0,-2849.0,157.9,2448.0,166.7,24,L,5,3413
2016-09-16 15:09:32.160905984,69.1117,-49.4604,8968.0,38.0,-6007.0,29.7,6660.0,43.9,20,S,2A,3413
1997-08-18 02:29:05.633304064,69.1117,-49.4604,2748.0,86.0,-2086.0,92.1,1789.0,78.0,39,L,5,3413
2020-06-28 10:00:22.724102144,69.1117,-49.4604,8325.0,33.0,-5754.0,19.8,6017.0,41.1,5,S,1A,3413
2020-07-20 20:47:04.079587072,69.1117,-49.4604,9178.0,47.0,-6190.0,24.5,6776.0,59.1,6,S,1B,3413
